period,DMA,sales
2021-09-26,"SAN ANGELO, TX",10.0
2021-09-26,"SHREVEPORT, LA",16.0
2021-09-26,"LITTLE ROCK, AR",23.0
2021-09-26,"PARKERSBERG, WV",8.0
2021-09-26,"SPRINGFIELD, MO",14.0
2021-09-26,"LAKE CHARLES, LA",11.0
2021-09-26,"OKLAHOMA CITY, OK",16.0
2021-09-26,"ODESSA-MIDLAND, TX",23.0
2021-09-26,"RALEIGH-DURHAM, NC",15.0
2021-09-26,"TYLER-LONGVIEW, TX",51.0
2021-09-26,"DALLAS, TX",43.0
2021-09-26,"WACO-TEMPLE, TX",12.0
2021-09-26,"ABILENE, TX",17.0
2021-09-26,"MONROE-ELDORADO, LA",10.0
2021-09-26,"CHARLESTON-HUNTINGTON, WV",30.0
2021-09-26,"GREENVILLE-NEW BERN, NC",33.0
2021-09-26,"BLUEFIELD-BECKLEY, WV",15.0
2021-09-26,"JOPLIN, MO - PITTSBURG, KS",0.0
2021-09-26,"WICHITA-HUTCHINSON, KS",0.0
2021-09-26,"CLARKSBURG-WESTON, WV",6.0
2021-09-26,"GREENWOOD-GREENVILLE, MS",14.0
2021-09-26,"COLUMBUS, OH",0.0
2021-09-26,"SPOKANE, WA",0.0
2021-09-26,"FT SMITH, AR",2.0
2021-09-26,"CLEVELAND, OH",0.0
2021-09-26,"LAS VEGAS, NV",2.0
2021-09-26,"RENO, NV",2.0
2021-09-26,"PALM SPRINGS, CA",2.0
2021-09-26,"SHERMAN-ADA, OK",0.0
2021-09-26,"LOS ANGELES, CA",2.0
2021-09-26,"MEMPHIS, TN",0.0
2021-09-26,"KANSAS CITY, MO",5.0
2021-09-26,"SACRAMENTO, CA",4.0
2021-09-26,"WICHITA FALLS, TX - LAWTON, OK",1.0
2021-09-26,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-09-26,"MONTEREY-SALINAS, CA",0.0
2021-09-26,"SAN ANTONIO, TX",0.0
2021-09-26,"LAFAYETTE, LA",0.0
2021-09-26,"FRESNO-VISALIA, CA",0.0
2021-09-26,"NEW YORK, NY",980.0
2021-09-26,No DMA,0.0
2022-01-23,"TULSA, OK",6.0
2022-01-23,"AUSTIN, TX",10.0
2022-01-23,"EUREKA, CA",13.0
2022-01-23,"HOUSTON, TX",24.0
2022-01-23,"LUBBOCK, TX",22.0
2022-01-23,"PHOENIX, AZ",43.0
2022-01-23,"AMARILLO, TX",14.0
2022-01-23,"VICTORIA, TX",9.0
2022-01-23,"JONESBORO, AR",13.0
2022-01-23,"ST JOSEPH, MO",3.0
2022-01-23,"ALEXANDRIA, LA",22.0
2022-01-23,"SAN ANGELO, TX",5.0
2022-01-23,"SHREVEPORT, LA",23.0
2022-01-23,"LITTLE ROCK, AR",23.0
2022-01-23,"PARKERSBERG, WV",11.0
2022-01-23,"SPRINGFIELD, MO",23.0
2022-01-23,"LAKE CHARLES, LA",26.0
2022-01-23,"OKLAHOMA CITY, OK",15.0
2022-01-23,"ODESSA-MIDLAND, TX",16.0
2022-01-23,"RALEIGH-DURHAM, NC",10.0
2022-01-23,"TYLER-LONGVIEW, TX",59.0
2022-01-23,"DALLAS, TX",35.0
2022-01-23,"WACO-TEMPLE, TX",23.0
2022-01-23,"ABILENE, TX",20.0
2022-01-23,"MONROE-ELDORADO, LA",12.0
2022-01-23,"CHARLESTON-HUNTINGTON, WV",24.0
2022-01-23,"GREENVILLE-NEW BERN, NC",39.0
2022-01-23,"BLUEFIELD-BECKLEY, WV",16.0
2022-01-23,"JOPLIN, MO - PITTSBURG, KS",0.0
2022-01-23,"WICHITA-HUTCHINSON, KS",0.0
2022-01-23,"CLARKSBURG-WESTON, WV",1.0
2022-01-23,"GREENWOOD-GREENVILLE, MS",7.0
2022-01-23,"COLUMBUS, OH",0.0
2022-01-23,"SPOKANE, WA",0.0
2022-01-23,"FT SMITH, AR",2.0
2022-01-23,"CLEVELAND, OH",0.0
2022-01-23,"LAS VEGAS, NV",0.0
2022-01-23,"RENO, NV",1.0
2022-01-23,"PALM SPRINGS, CA",1.0
2022-01-23,"SHERMAN-ADA, OK",1.0
2022-01-23,"LOS ANGELES, CA",0.0
2022-01-23,"MEMPHIS, TN",1.0
2022-01-23,"KANSAS CITY, MO",2.0
2022-01-23,"SACRAMENTO, CA",2.0
2022-01-23,"WICHITA FALLS, TX - LAWTON, OK",5.0
2022-01-23,"COLUMBIA-JEFFERSON CITY, MO",0.0
2022-01-23,"MONTEREY-SALINAS, CA",0.0
2022-01-23,"SAN ANTONIO, TX",0.0
2022-01-23,"LAFAYETTE, LA",0.0
2022-01-23,"FRESNO-VISALIA, CA",0.0
2022-01-23,"NEW YORK, NY",965.0
2022-01-23,No DMA,0.0
2021-09-19,"TULSA, OK",15.0
2021-09-19,"AUSTIN, TX",19.0
2021-09-19,"EUREKA, CA",21.0
2021-09-19,"HOUSTON, TX",12.0
2021-09-19,"LUBBOCK, TX",35.0
2021-09-19,"PHOENIX, AZ",36.0
2021-09-19,"AMARILLO, TX",12.0
2021-09-19,"VICTORIA, TX",6.0
2021-09-19,"JONESBORO, AR",9.0
2021-09-19,"ST JOSEPH, MO",7.0
2021-09-19,"ALEXANDRIA, LA",10.0
2021-09-19,"SAN ANGELO, TX",7.0
2021-09-19,"SHREVEPORT, LA",15.0
2021-09-19,"LITTLE ROCK, AR",13.0
2021-09-19,"PARKERSBERG, WV",6.0
2021-09-19,"SPRINGFIELD, MO",17.0
2021-09-19,"LAKE CHARLES, LA",21.0
2021-09-19,"OKLAHOMA CITY, OK",7.0
2021-09-19,"ODESSA-MIDLAND, TX",14.0
2021-09-19,"RALEIGH-DURHAM, NC",16.0
2021-09-19,"TYLER-LONGVIEW, TX",41.0
2021-09-19,"DALLAS, TX",46.0
2021-09-19,"WACO-TEMPLE, TX",16.0
2021-09-19,"ABILENE, TX",14.0
2021-09-19,"MONROE-ELDORADO, LA",8.0
2021-09-19,"CHARLESTON-HUNTINGTON, WV",33.0
2021-09-19,"GREENVILLE-NEW BERN, NC",28.0
2021-09-19,"BLUEFIELD-BECKLEY, WV",19.0
2021-09-19,"JOPLIN, MO - PITTSBURG, KS",0.0
2021-09-19,"WICHITA-HUTCHINSON, KS",0.0
2021-09-19,"CLARKSBURG-WESTON, WV",4.0
2021-09-19,"GREENWOOD-GREENVILLE, MS",6.0
2021-09-19,"COLUMBUS, OH",2.0
2021-09-19,"SPOKANE, WA",0.0
2021-09-19,"FT SMITH, AR",0.0
2021-09-19,"CLEVELAND, OH",0.0
2021-09-19,"LAS VEGAS, NV",1.0
2021-09-19,"RENO, NV",2.0
2021-09-19,"PALM SPRINGS, CA",1.0
2021-09-19,"SHERMAN-ADA, OK",0.0
2021-09-19,"LOS ANGELES, CA",0.0
2021-09-19,"MEMPHIS, TN",2.0
2021-09-19,"KANSAS CITY, MO",0.0
2021-09-19,"SACRAMENTO, CA",6.0
2021-09-19,"WICHITA FALLS, TX - LAWTON, OK",4.0
2021-09-19,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-09-19,"MONTEREY-SALINAS, CA",1.0
2021-09-19,"SAN ANTONIO, TX",0.0
2021-09-19,"LAFAYETTE, LA",0.0
2021-09-19,"FRESNO-VISALIA, CA",0.0
2021-09-19,"NEW YORK, NY",1009.0
2021-09-19,No DMA,0.0
2021-10-10,"TULSA, OK",4.0
2021-10-10,"AUSTIN, TX",11.0
2021-10-10,"EUREKA, CA",13.0
2021-10-10,"HOUSTON, TX",23.0
2021-10-10,"LUBBOCK, TX",15.0
2021-10-10,"PHOENIX, AZ",32.0
2021-10-10,"AMARILLO, TX",15.0
2021-10-10,"VICTORIA, TX",6.0
2021-10-10,"JONESBORO, AR",6.0
2021-10-10,"ST JOSEPH, MO",3.0
2021-10-10,"ALEXANDRIA, LA",11.0
2021-10-10,"SAN ANGELO, TX",16.0
2021-10-10,"SHREVEPORT, LA",16.0
2021-10-10,"LITTLE ROCK, AR",23.0
2021-10-10,"PARKERSBERG, WV",11.0
2021-10-10,"SPRINGFIELD, MO",17.0
2021-10-10,"LAKE CHARLES, LA",21.0
2021-10-10,"OKLAHOMA CITY, OK",17.0
2021-10-10,"ODESSA-MIDLAND, TX",22.0
2021-10-10,"RALEIGH-DURHAM, NC",12.0
2021-10-10,"TYLER-LONGVIEW, TX",38.0
2021-10-10,"DALLAS, TX",35.0
