"brand","dma","period","gross_add"
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-01-27,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-02-03,20
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-02-10,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-02-17,7
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-02-24,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-03-03,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-03-10,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-03-17,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-03-24,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-03-31,24
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-04-07,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-04-14,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-04-21,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-04-28,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-05-05,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-05-12,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-05-19,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-05-26,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-06-02,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-06-09,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-06-16,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-06-23,8
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-06-30,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-07-07,7
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-07-14,12
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-07-21,8
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-07-28,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-08-04,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-08-11,16
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-08-18,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-08-25,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-09-01,15
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-09-08,13
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-09-15,8
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-09-22,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-09-29,26
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-10-06,17
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-10-13,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-10-20,14
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-10-27,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-11-03,8
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-11-10,18
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-11-17,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-11-24,8
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-12-01,9
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-12-08,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-12-15,10
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-12-22,4
"Suddenlink","BLUEFIELD-BECKLEY, WV",2019-12-29,6
"Suddenlink","BLUEFIELD-BECKLEY, WV",2020-01-05,12
