"brand","period","dma","sales"
"Suddenlink",2019-01-13,"ABILENE, TX",12
"Suddenlink",2019-01-20,"ABILENE, TX",18
"Suddenlink",2019-01-27,"ABILENE, TX",19
"Suddenlink",2019-02-03,"ABILENE, TX",16
"Suddenlink",2019-02-10,"ABILENE, TX",12
"Suddenlink",2019-02-17,"ABILENE, TX",16
"Suddenlink",2019-02-24,"ABILENE, TX",15
"Suddenlink",2019-03-03,"ABILENE, TX",17
"Suddenlink",2019-03-10,"ABILENE, TX",23
"Suddenlink",2019-03-17,"ABILENE, TX",22
"Suddenlink",2019-03-24,"ABILENE, TX",32
"Suddenlink",2019-03-31,"ABILENE, TX",12
"Suddenlink",2019-04-07,"ABILENE, TX",20
"Suddenlink",2019-04-14,"ABILENE, TX",22
"Suddenlink",2019-04-21,"ABILENE, TX",24
"Suddenlink",2019-04-28,"ABILENE, TX",18
"Suddenlink",2019-05-05,"ABILENE, TX",16
"Suddenlink",2019-05-12,"ABILENE, TX",26
"Suddenlink",2019-05-19,"ABILENE, TX",20
"Suddenlink",2019-05-26,"ABILENE, TX",20
"Suddenlink",2019-06-02,"ABILENE, TX",19
"Suddenlink",2019-06-09,"ABILENE, TX",27
"Suddenlink",2019-06-16,"ABILENE, TX",19
"Suddenlink",2019-06-23,"ABILENE, TX",19
"Suddenlink",2019-06-30,"ABILENE, TX",13
"Suddenlink",2019-07-07,"ABILENE, TX",15
"Suddenlink",2019-07-14,"ABILENE, TX",13
"Suddenlink",2019-07-21,"ABILENE, TX",18
"Suddenlink",2019-07-28,"ABILENE, TX",16
"Suddenlink",2019-08-04,"ABILENE, TX",17
"Suddenlink",2019-08-11,"ABILENE, TX",16
"Suddenlink",2019-08-18,"ABILENE, TX",13
"Suddenlink",2019-08-25,"ABILENE, TX",15
"Suddenlink",2019-09-01,"ABILENE, TX",15
"Suddenlink",2019-09-08,"ABILENE, TX",28
"Suddenlink",2019-09-15,"ABILENE, TX",22
"Suddenlink",2019-09-22,"ABILENE, TX",32
"Suddenlink",2019-09-29,"ABILENE, TX",22
"Suddenlink",2019-10-06,"ABILENE, TX",10
"Suddenlink",2019-10-13,"ABILENE, TX",11
"Suddenlink",2019-10-20,"ABILENE, TX",17
"Suddenlink",2019-10-27,"ABILENE, TX",16
